CRS ID,Surname,Preferred name,College,,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Group,Allocated to
stu154,firstname154,lastname154,CTH,,B-tdw13-4,B-tdw13-2,B-hjj28-3,C-hemh1-3,,B,"B-hjj28-3
*"
stu155,firstname155,lastname155,K,,A-nra27-2,A-sh372-1,A-gtp10-3,A-aw329-2,,A,A-nra27-2
stu156,firstname156,lastname156,PET,,C-jpj1001-2,A-gtp10-3,A-ajw36-2,A-jmc99-3,,A,A-ajw36-2
stu157,firstname157,lastname157,CTH,.,F-dsk30-1,F-gv103-1,F-mjfg100-3,F-sjg30-4,F-gv103-2,F,F-icl20-2
stu158,firstname158,lastname158,SE,,A-sh372-2,C-am253-2,A-aw329-2,A-sh372-1,D-dl359-1,A,A-sh372-2
stu159,firstname159,lastname159,CHR,,F-fi224-2,F-ib255-2,F-ff286-2,,,F,"F-fi224-2
*"
stu160,firstname160,lastname160,F,,C-pok21-4,F-jl221-1,C-pok21-1,F-sb2330-2,C-pok21-2,C,C-pok21-4
stu161,firstname161,lastname161,TH,,F-tg444-2,,,,,F,"F-tg444-2
*"
stu162,firstname162,lastname162,CAI,,D-skh20-4,D-fam20-7,D-ss683-3,D-fam20-6,,D,"D-fam20-7
*"
stu163,firstname163,lastname163,K,,C-ajk61-1,D-sas229-1,D-sas229-5,C-gnw20-2,C-pok21-1,D,"D-sas229-1
*"
stu164,firstname164,lastname164,M,,A-aa406-1,D-ss683-2,F-rc10001-2,,,A,A-aa406-1
stu165,firstname165,lastname165,F,,D-ib340-3,A-jmc99-4,D-mag92-1,A-jmc99-2,D-jms33-2,,
stu166,firstname166,lastname166,EM,,F-jl221-1,D-sas229-5,C-ajk61-1,F-jmh233-3,F-sjg30-1,F,F-jl221-1
stu167,firstname167,lastname167,HO,,D-dl359-1,C-jpj1001-2,C-gnw20-3,,,D,"D-dl359-1
*"
stu168,firstname168,lastname168,T,,A-mpj1001-2,F-ff286-1,C-jpj1001-2,C-djc13-3,A-amb233-1,A,"A-amb233-1
*"
stu169,firstname169,lastname169,JN,.,A-gtp10-2,,,,,C,"C-hemh1-1
*"
stu170,firstname170,lastname170,T,,F-jjc75-1,,,,,F,F-jjc75-1
stu171,firstname171,lastname171,T,,F-fi224-4,F-fi224-1,C-pok21-2,C-pok21-3,F-gv103-3,F,F-fi224-1
stu172,firstname172,lastname172,Q,,,,,,,,
stu173,firstname173,lastname173,SE,,F-sb2330-3,,,,,F,F-sb2330-3
stu174,firstname174,lastname174,T,,F-dsk30-1,F-gv103-1,F-dsk30-2,F-jmh233-1,F-mjfg100-3,F,F-dsk30-1
stu175,firstname175,lastname175,PEM,,F-mt126-1,,,,,F,"F-mt126-1
*"
stu176,firstname176,lastname176,DOW,,A-msd38-1,A-msd38-2,C-hemh1-2,C-hemh1-1,A-amb233-1,A,"A-msd38-2
*"
stu177,firstname177,lastname177,M,.,C-pok21-3,C-pok21-1,B-tdw13-2,F-gv103-1,F-jl221-3,B,"B-cd229-3
*"
stu178,firstname178,lastname178,JE,,A-es607-3,,,,,A,A-es607-3
stu179,firstname179,lastname179,CAI,,B-th270-3,D-sdg13-4,B-acf26-3,C-djc13-3,,B,"B-th270-3
*"
stu180,firstname180,lastname180,Q,,A-hb209-2,,,,,A,A-hb209-2
